id,y_2013,y_2014,
1,1086,1154,
2,325,329,
3,814,767,
4,705,694,
5,1036,1037,
6,321,404,
7,423,767,
8,462,572,
9,866,862,
10,1640,2005,
11,719,719,
12,777,776,
13,1664,1709,
14,1783,1775,
15,523,573,
16,1133,1133,
17,1105,1125,
18,608,608,
19,703,695,
20,706,698,
21,603,646,
22,1120,1141,
23,577,570,
24,670,670,
25,1034,1045,
26,268,278,
27,738,878,
28,1629,1665,
29,669,669,
30,756,756,
31,895,915,
32,941,952,
33,723,722,
34,697,704,
35,740,742,
36,981,981,
37,386,386,
38,674,819,
39,1047,1046,
40,599,599,
41,1014,1033,
42,2127,2549,
43,1053,1054,
44,1022,1052,
45,910,941,
46,2069,2118,
47,281,280,
48,2002,2475,
49,762,767,
50,864,867,
51,677,680,
52,355,331,
53,79,221,
54,358,346,
55,1259,1146,
56,1300,1302,
57,829,838,
58,265,264,
59,1149,1152,
60,469,469,
61,1364,1455,
62,1139,1138,
63,1391,1517,
64,840,839,
65,959,954,
66,994,991,
67,549,561,
68,1048,1558,
69,803,803,
70,450,900,
71,343,342,
72,516,516,
73,365,367,
74,1186,1181,
75,526,529,
76,422,424,
77,1118,1120,
78,895,888,
79,381,383,
80,494,497,
81,677,700,
82,462,461,
83,458,463,
84,507,509,
85,365,383,
86,321,321,
87,429,426,
88,398,403,
89,289,288,
90,1759,1855,
91,559,555,
92,446,448,
93,518,514,
94,376,376,
95,714,713,
96,1092,1092,
97,675,674,
98,402,402,
99,373,384,
100,838,837,
101,543,550,
102,588,590,
103,509,459,
104,1080,1083,
105,796,803,
106,370,370,
107,325,331,
108,355,355,
109,1311,1622,
110,464,461,
111,799,799,
112,453,451,
113,539,540,
114,900,837,
115,1127,1122,
116,667,665,
117,1087,1082,
118,305,292,
119,768,768,
120,694,695,
121,461,467,
122,1121,1404,
123,731,737,
124,1177,1189,
125,950,1050,
126,501,801,
127,1591,1663,
128,1829,1836,
129,702,673,
130,840,831,
131,218,218,
132,1125,1250,
133,632,632,
134,1046,1045,
135,790,809,
136,403,1090,
137,742,722,
138,1578,1605,
139,1068,1069,
140,2019,2277,
141,1628,1620,
142,197,528,
143,445,641,
144,826,829,
145,969,966,
146,1839,1921,
147,1059,1088,
148,890,890,
149,716,824,
150,761,761,
151,0,0,
152,138,137,
153,0,0,
